total_homeless,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_inslander,percent_population_0_19,percent_population_65_plus,percent_female_population
1098.0,557239,-1.43071549801522,,,16.9893608093262,24.2344970703125,37.9062881469727,,1,2483,1.28772902488709,0,1,6.13098812103271,45.3899993896484,12.2708568572998,6.51820087432861,94.0,,1709,,,,,,11.13355,,31.4200000762939,70.4233322143555,3.49000000953674,42.6100006103516,19.704292054217312,0.039702892295765374,0.07312122805474851,0.02216643127993554,0.0004917100202964976,0.23603337167714392,0.1596173275739853,0.515358759885794
883.0,558312,3.07884364523868,1.94876325130463,12.6999998092651,16.9893608093262,24.2344970703125,37.9062881469727,4.68457937240601,1,1591,1.28772902488709,0,1,4.94149160385132,45.3899993896484,10.4009943008423,6.49840307235718,94.0,34.9522399902344,683,-0.0748551860451698,28.2332935333252,26.6473503112793,7.95643186569214,71.1315231323242,11.62244,0.204296007752419,34.3899993896484,72.1566696166992,5.21000003814697,38.2000007629395,15.815529667999254,0.041444568628293856,0.07642142744558598,0.02260026651764605,0.0005212139448910287,0.23391759446331084,0.16331191161930964,0.5156005960824772
107.0,72839,0.0,,,11.8315019607544,28.5588645935059,31.5937099456787,,0,6,0.901764452457428,0,1,8.51081466674805,45.4199981689453,14.9343070983887,5.21676588058472,94.0,,231,,,,,,9.80351,,28.5300006866455,70.2866668701172,2.86999988555908,39.5400009155273,14.689932591056989,0.0726945729622867,0.01345433078433257,0.0067820810280207035,0.00041186726890813985,0.2193330496025481,0.1819629594036162,0.4883098340174906
123.0,74977,-3.46728790526112,1.48839950561523,12.5,11.8315019607544,28.5588645935059,31.5937099456787,6.31422853469849,0,9,0.901764452457428,0,1,9.33550262451172,45.4199981689453,15.2913551330566,5.24387311935425,93.0,34.4225845336914,-109,,31.9240455627441,22.6787986755371,14.2432880401611,82.2412261962891,10.24346,,26.3299999237061,73.8733367919922,1.44000005722046,36.7399978637695,16.40503087613535,0.07870413593502007,0.01456446643637382,0.00798911666244315,0.0003467730103898529,0.2220014137668885,0.1787748242794457,0.48274804273310484
110.0,74585,-5.65327120947389,,,11.8315019607544,28.5588645935059,31.5937099456787,,0,2,0.901764452457428,0,1,9.05330467224121,45.4199981689453,17.0262107849121,5.33237266540527,94.0,,-181,,,,,,10.67111,,33.3699989318848,73.1800003051758,2.91000008583069,50.3699989318848,14.748273781591474,0.08019038680699872,0.015110276865321445,0.008379701012267883,0.0003485955621103439,0.2172018502379835,0.17962056713816452,0.4811289133203727
76.0,73962,-8.11492913997283,1.48839950561523,12.5,11.8315019607544,28.5588645935059,31.5937099456787,6.31422853469849,0,5,0.901764452457428,0,1,8.91364097595215,45.4199981689453,16.1258487701416,4.93025493621826,94.0,34.4225845336914,-390,,31.9240455627441,22.6787986755371,14.2432880401611,82.2412261962891,11.14349,,33.1199989318848,71.8933334350586,2.85999989509583,37.1399993896484,10.275546902463427,0.07948676347313485,0.01610286363267624,0.008707173954192694,0.00035153186771585406,0.21354208918093076,0.18550066250236608,0.48123360644655366
120.0,73604,-10.4057464569986,,,11.8315019607544,28.5588645935059,31.5937099456787,,0,3,0.901764452457428,0,1,8.48203659057617,45.4199981689453,16.588773727417,5.26934194564819,95.0,,-131,,,,,,11.78952,,22.8400001525879,71.1500015258789,0.970000028610229,36.9900016784668,16.303461768382153,0.07865061681430358,0.016751806967012662,0.00900766262703114,0.00036682788978859845,0.21322210749415793,0.18925601869463615,0.48149557089288625
96.0,73045,-13.2945059211804,1.61342990398407,14.3999996185303,11.8315019607544,28.5588645935059,31.5937099456787,7.05603647232056,0,1,0.901764452457428,0,1,7.59717845916748,45.4199981689453,16.514476776123,5.05327987670898,93.0,32.6397857666016,-359,,32.3818664550781,25.0098056793213,11.7834768295288,80.4609527587891,11.43873,,27.3199996948242,70.0200042724609,1.96000003814697,36.4599990844727,13.14258333903758,0.07881442946129098,0.017126428913683347,0.009952768841125333,0.0003970155383667602,0.21351221849544802,0.19238825381614075,0.48100486001779724
124.0,72498,-12.3820617355853,,,11.8315019607544,28.5588645935059,31.5937099456787,,0,0,0.901764452457428,0,1,6.97107219696045,45.4199981689453,17.8998031616211,5.12742900848389,93.0,,-213,,,,,,11.59995,,26.9599990844727,71.0233306884766,2.91000008583069,39.5299987792969,17.103920108140915,0.07840216281828465,0.01722806146376452,0.010138210709260945,0.0003724240668708102,0.21305415321801982,0.19444674335843748,0.48108913349333776
118.0,72194,-12.9334109881576,1.61342990398407,14.3999996185303,11.8315019607544,28.5588645935059,31.5937099456787,7.05603647232056,0,0,0.901764452457428,0,1,6.223557472229,45.4199981689453,15.3613882064819,5.03457498550415,93.0,32.6397857666016,-119,0.362464159727097,32.3818664550781,25.0098056793213,11.7834768295288,80.4609527587891,12.34634,0.176673129200935,35.6500015258789,73.379997253418,4.01000022888184,36.1199989318848,16.344848602376928,0.07909244535556971,0.017549934897636923,0.010776518824279026,0.00045710169820206665,0.21284317256281685,0.1966783943263983,0.4798321190126603
3419.0,636128,0.0,,,17.8118934631348,28.8495178222656,53.4482078552246,,1,114,2.04978227615356,1,0,10.2113666534424,51.560001373291,19.9967613220215,13.5009613037109,91.0,,-5187,,,,,,11.60202,,33.7099990844727,75.3166656494141,2.21000003814697,57.2700004577637,53.7470446199507,0.6269131369787213,0.030682504150108154,0.020124880527189498,0.00037099451682680215,0.2755781855224106,0.11880627798178983,0.5324557321796871
