year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,rate_sheltered,rate_unsheltered,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_inslander,percent_population_0_19,percent_population_65_plus,percent_female_population
2012,AK-501,766.0,619.0,147.0,425968,-0.167281041086085,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,8.83814239501953,40.6757011413574,12.1164035797119,1.87719964981079,96.7598876953125,,7225,18864,14991,1631,124534,35785,200946,772,,,,,,9.11423513139485,,2.90000009536743,55.9000015258789,1.16999995708466,16.4599990844727,17.982571460767005,14.531608008113285,3.4509634526537205,0.016961367990083763,0.044285016714870604,0.035192784434511515,0.0038289261165157947,0.2923552942944071,0.08400865792735604,0.47173966119520716
2013,AK-501,824.0,671.0,153.0,432305,0.0553562435072479,2.11652970314026,13.84889793396,13.3116703033447,19.3645610809326,33.922233581543,6.30626583099365,0,0,9.29489803314209,0,0,8.47916698455811,40.6757011413574,11.8608388900757,2.0073766708374,98.1892242431641,2.65547513961792,7909,20650,15657,1800,124193,38337,203359,2162,,24.431116104126,20.3169708251953,15.8124465942383,76.4723358154297,8.69494786794046,,23.2999992370605,56.0,1.10000002384186,20.2700004577637,19.06061692555025,15.521448976995408,3.53916794855484,0.01829495379419623,0.04776720139716173,0.03621748534021119,0.004163726998299811,0.2872809706110269,0.08868044551878881,0.4704063103595841
2014,AK-501,761.0,669.0,92.0,435679,2.18257742891404,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,8.34344291687012,40.6757011413574,11.4513206481934,1.95895099639893,97.9441223144531,,8198,21994,16091,1851,123569,40699,204145,-841,,,,,,8.8719509473718,,30.2999992370605,60.0999984741211,1.51999998092651,24.0100002288818,17.466988310200858,15.355341891622043,2.111646418578816,0.018816605803814276,0.050482121011111394,0.036933154914512746,0.004248540783466727,0.2836239524971367,0.09341510607580351,0.4685674544791004
2015,AK-501,748.0,610.0,138.0,436463,2.68091099715869,2.24969911575317,14.6077146530151,13.3116703033447,19.3645610809326,33.922233581543,7.00008964538574,0,0,9.29489803314209,0,0,8.13521480560303,40.6757011413574,12.0094947814941,1.91578245162964,89.8027267456055,2.23641037940979,8121,22825,16663,1907,122677,43270,204114,-3593,,25.6898784637451,19.7865581512451,14.1425180435181,75.5603790283203,9.02181782231254,,20.5,58.0,0.349999994039536,18.3199996948242,17.137764254931117,13.97598421859356,3.161780036337559,0.018606388170360373,0.05229538357203245,0.03817734836629909,0.004369213427025888,0.28107078950563963,0.09913784215385955,0.4676547611137714
2016,AK-501,835.0,633.0,202.0,439961,6.13309626887893,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,7.64422655105591,40.6757011413574,11.2819089889526,1.91327238082886,97.2644119262695,,8384,23847,17088,1959,122939,45946,205673,-570,,,,,,9.13901965983348,,27.2000007629395,60.2000007629395,0.280000001192093,19.0,18.978954952825365,14.387638904357432,4.591316048467933,0.019056234529878785,0.05420253158802712,0.03883980625555447,0.004452667395519148,0.2794315859814847,0.10443198374401368,0.4674800720972995
2017,AK-501,717.0,578.0,139.0,444146,9.04271026306481,2.24969911575317,14.6077146530151,13.3116703033447,19.3645610809326,33.922233581543,7.00008964538574,0,0,9.29489803314209,0,0,7.93574953079224,40.6757011413574,11.4392566680908,1.84200477600098,99.0,2.23641037940979,8674,24751,17812,2040,123722,48814,207750,149,-0.466562390327454,25.6898784637451,19.7865581512451,14.1425180435181,75.5603790283203,9.97286992457435,0.218806326389313,13.8000001907349,60.7999992370605,1.71000003814697,16.5,16.143340252979876,13.013738725554209,3.1296015274256663,0.019529614135892253,0.05572717079518897,0.040103929788853215,0.0045930842560779565,0.27856155408356714,0.10990530140989675,0.4677515951961742
2010,AL-500,2273.0,1069.0,1204.0,939452,0.0,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,1029,1.23592507839203,0,1,10.0933122634888,47.6335334777832,13.9616508483887,4.67560005187988,85.0989685058594,,298811,29166,11965,304,252058,119393,489328,3759,,,,,,8.64690310368172,,38.0172805786133,77.7118759155273,4.45133686065674,73.8469085693359,24.194956208513048,11.378974125341156,12.815982083171892,0.3180694702869332,0.031045758591178686,0.01273614830773685,0.0003235929030966989,0.268303223581407,0.1270879193402111,0.5208653555477023
2011,AL-500,1950.0,1024.0,926.0,937879,-5.6758206742324,1.75871050357819,21.216775894165,12.1884155273438,24.9629383087158,31.7696208953857,9.24621105194092,0,1695,1.23592507839203,0,1,9.59074115753174,47.6335334777832,15.9226303100586,4.85394096374512,87.8204650878906,7.45362949371338,304174,38703,13543,242,248758,118468,488372,99,,28.4439811706543,32.2736396789551,11.4535751342773,67.6729125976563,8.62912361388836,,39.3106384277344,82.3111801147461,3.87485432624817,49.952751159668,20.791594651335622,10.918252781009064,9.873341870326557,0.3243211544346339,0.04126651732259705,0.014440029044258375,0.00025802902080119075,0.2652346411424075,0.1263148018027912,0.5207196237467733
2012,AL-500,1707.0,1009.0,698.0,939885,-9.39495712417882,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,2371,1.23592507839203,0,1,8.56382751464844,47.6335334777832,16.0394096374512,4.83868265151978,90.9217758178711,,306264,38605,13897,221,247612,120441,489818,-1358,,,,,,8.77486748383047,,48.7962837219238,81.4275970458984,5.9374532699585,55.1544494628906,18.16179638998388,10.735355921203126,7.426440468780755,0.32585263090697264,0.04107417396809184,0.014785851460551025,0.00023513514951297232,0.2634492517701634,0.12814440064475974,0.5211467360368556
2013,AL-500,1469.0,960.0,509.0,943471,-10.7599124065283,1.75871050357819,21.216775894165,12.1884155273438,24.9629383087158,31.7696208953857,9.24621105194092,0,2621,1.23592507839203,0,1,6.82671499252319,47.6335334777832,15.9583072662354,4.78158760070801,91.6058578491211,7.45362949371338,308437,38305,14493,238,246505,125425,491768,20,,28.4439811706543,32.2736396789551,11.4535751342773,67.6729125976563,8.68556289878544,,47.6922302246094,79.0039672851563,8.63172435760498,52.4255027770996,15.57016590865008,10.175193514162068,5.394972394488013,0.3269173085341256,0.04060008203749771,0.015361362458411547,0.0002522600058719346,0.26127459137588754,0.13293996317851847,0.5212327670908804
